Gene,Macaque gene name,Mouse gene name
RP11-34P13.3,NA,NA
RP11-34P13.7,NA,NA
RP11-34P13.8,NA,NA
FO538757.2,NA,NA
AP006222.2,NA,NA
RP4-669L17.2,NA,NA
RP4-669L17.10,NA,NA
RP5-857K21.4,NA,NA
RP11-206L10.4,NA,NA
RP11-206L10.9,NA,NA
FAM87B,NA,NA
LINC00115,NA,NA
FAM41C,NA,NA
RP11-54O7.16,NA,NA
RP11-54O7.1,NA,NA
RP11-54O7.2,NA,NA
RP11-54O7.3,NA,NA
SAMD11,SAMD11,Samd11
NOC2L,NOC2L,Noc2l
KLHL17,KLHL17,Klhl17
PLEKHN1,PLEKHN1,Plekhn1
PERM1,PERM1,Perm1
RP11-54O7.17,NA,NA
HES4,HES4,NA
ISG15,ISG15,Isg15
RP11-54O7.11,NA,NA
AGRN,AGRN,Agrn
RP11-54O7.18,NA,NA
RNF223,RNF223,Rnf223
C1orf159,C1H1orf159,9430015G10Rik
LINC01342,NA,NA
RP11-465B22.8,NA,NA
TTLL10-AS1,NA,NA
TTLL10,TTLL10,Ttll10
TNFRSF18,TNFRSF18,Tnfrsf18
TNFRSF4,TNFRSF4,Tnfrsf4
SDF4,SDF4,Sdf4
B3GALT6,B3GALT6,B3galt6
FAM132A,NA,NA
RP5-902P8.12,NA,NA
UBE2J2,UBE2J2,Ube2j2
RP5-902P8.10,NA,NA
SCNN1D,SCNN1D,NA
ACAP3,ACAP3,Acap3
PUSL1,PUSL1,Pusl1
CPSF3L,NA,NA
CPTP,CPTP,Cptp
TAS1R3,TAS1R3,Tas1r3
DVL1,DVL1,Dvl1
MXRA8,MXRA8,Mxra8
AURKAIP1,AURKAIP1,Aurkaip1
CCNL2,Ccnl2,NA
CCNL2,Ccnl2,NA
MRPL20,Mrpl20,NA
RP4-758J18.13,NA,NA
ANKRD65,ANKRD65,Ankrd65
RP4-758J18.7,NA,NA
RP4-758J18.10,NA,NA
VWA1,VWA1,Vwa1
ATAD3C,NA,NA
ATAD3B,NA,NA
ATAD3A,Atad3a,NA
ATAD3A,Atad3a,NA
ATAD3A,Atad3a,NA
TMEM240,TMEM240,Tmem240
SSU72,SSU72,Ssu72
SSU72,Ssu72,NA
RP5-832C2.5,NA,NA
C1orf233,NA,NA
RP11-345P4.9,NA,NA
MIB2,MIB2,Mib2
MMP23B,MMP23,Mmp23
CDK11B,Cdk11b,NA
RP11-345P4.10,NA,NA
SLC35E2B,SLC35E2,Slc35e2
RP11-345P4.7,NA,NA
CDK11A,Cdk11b,NA
SLC35E2,NA,NA
"NADK","NADK",Nadk
GNB1,GNB1,Gnb1
RP1-140A9.1,NA,NA
CALML6,CALML6,NA
TMEM52,TMEM52,Tmem52
CFAP74,Cfap74,NA
RP11-547D24.1,NA,NA
GABRD,GABRD,Gabrd
RP11-547D24.3,NA,NA
PRKCZ,PRKCZ,Prkcz
RP5-892K4.1,NA,NA
RP11-181G12.2,NA,NA
FAAP20,Faap20,NA
RP11-181G12.4,NA,NA
SKI,SKI,Ski
MORN1,MORN1,Morn1
RER1,RER1,Rer1
PEX10,PEX10,Pex10
PLCH2,NA,NA
PLCH2,PLCH2,Plch2
RP3-395M20.2,NA,NA
RP3-395M20.3,NA,NA
PANK4,NA,NA
PANK4,PANK4,Pank4
HES5,NA,NA
HES5,HES5,Hes5
RP3-395M20.12,NA,NA
RP3-395M20.8,NA,NA
TNFRSF14,NA,NA
TNFRSF14,TNFRSF14,Tnfrsf14
TNFRSF14,TNFRSF14,Tnfrsf10b
RP3-395M20.9,NA,NA
FAM213B,NA,NA
MMEL1,NA,NA
MMEL1,MMEL1,Mmel1
TTC34,NA,NA
TTC34,TTC34,Ttc34
LINC00982,NA,NA
PRDM16,PRDM16,Prdm16
RP1-163G9.2,NA,NA
RP11-22L13.1,NA,NA
ARHGEF16,ARHGEF16,Arhgef16
RP11-168F9.2,NA,NA
MEGF6,MEGF6,Megf6
RP11-46F15.2,NA,NA
TPRG1L,TPRG1L,Tprgl
WRAP73,WRAP73,Wrap73
WRAP73,Wrap73,NA
TP73,TP73,Trp73
RP5-1092A11.5,NA,NA
TP73-AS1,NA,NA
SMIM1,SMIM1,Smim1
LRRC47,LRRC47,Lrrc47
RP1-286D6.5,NA,NA
CEP104,CEP104,Cep104
DFFB,DFFB,Dffb
C1orf174,C1H1orf174,A430005L14Rik
LINC01134,NA,NA
LINC01346,NA,NA
AJAP1,AJAP1,Ajap1
NPHP4,NPHP4,Nphp4
KCNAB2,KCNAB2,Kcnab2
CHD5,CHD5,Chd5
RPL22,RPL22,Rpl22
RP1-120G22.11,NA,NA
RNF207,RNF207,Rnf207
ICMT,ICMT,Icmt
LINC00337,NA,NA
GPR153,GPR153,Gpr153
ACOT7,ACOT7,Acot7
RP1-202O8.3,NA,NA
HES2,HES2,Hes2
ESPN,ESPN,Espn
TNFRSF25,TNFRSF25,Tnfrsf25
PLEKHG5,PLEKHG5,Plekhg5
NOL9,NOL9,Nol9
TAS1R1,TAS1R1,Tas1r1
ZBTB48,ZBTB48,Zbtb48
KLHL21,KLHL21,Klhl21
PHF13,PHF13,Phf13
THAP3,THAP3,Thap3
